province,region,id
경상북도,칠곡군,3414
경상북도,영주시,3227
경상북도,영천시,3247
경상북도,상주시,3264
경상북도,문경시,3293
경상북도,예천군,3423
경상북도,울진군,3447
경상북도,성주군,3403
경상북도,의성군,3335
경상북도,청도군,3382
경상북도,고령군,3394
경상북도,영덕군,3370
경상북도,봉화군,3436
경상북도,청송군,3354
경상북도,영양군,3363
경상북도,울릉군,3459
경상남도,김해시,3599
경상남도,진주시,3533
경상남도,양산시,3661
경상남도,창원시 성산구,3475
경상남도,거제시,3638
경상남도,창원시 의창구,3466
경상남도,창원시 진해구,3517
경상남도,창원시 마산회원구,3503
경상남도,창원시 마산합포구,3483
경상남도,통영시,3566
경상남도,사천시,3582
경상남도,밀양시,3620
경상남도,함안군,3690
경상남도,거창군,3780
경상남도,창녕군,3701
경상남도,고성군,3716
경상남도,함양군,3768
경상남도,남해군,3731
경상남도,하동군,3742
경상남도,합천군,3793
경상남도,산청군,3756
경상남도,의령군,3676
제주특별자치도,제주시,3812
제주특별자치도,서귀포시,3839
province,region,id
강원특별자치도,원주시,1901
강원특별자치도,춘천시,1875
강원특별자치도,강릉시,1927
강원특별자치도,속초의료원,12444
강원특별자치도,속초시,1969
강원특별자치도,동해시,1949
강원특별자치도,홍천군,1992
강원특별자치도,삼척시,1978
강원특별자치도,횡성군,2003
강원특별자치도,철원군,2045
강원특별자치도,평창군,2024
강원특별자치도,태백시,1960
강원특별자치도,영월군,2013
강원특별자치도,양양군,2085
강원특별자치도,고성군,2078
강원특별자치도,정선군,2034
강원특별자치도,인제군,2070
강원특별자치도,화천군,2058
강원특별자치도,양구군,2064
세종특별자치시,조치원읍,1243
세종특별자치시,고운동,4186
세종특별자치시,종촌동,4153
세종특별자치시,다정동,6414
세종특별자치시,새롬동,4204
세종특별자치시,도담동,1254
세종특별자치시,아름동,1255
세종특별자치시,보람동,4184
세종특별자치시,소담동,4248
세종특별자치시,나성동,6413
세종특별자치시,한솔동,1253
세종특별자치시,어진동,6416
세종특별자치시,반곡동,6415
세종특별자치시,대평동,4247
세종특별자치시,집현동,10941
세종특별자치시,해밀동,10677
세종특별자치시,장군면,1248
세종특별자치시,금남면,1247
세종특별자치시,산울동,12547
세종특별자치시,연서면,1249
세종특별자치시,부강면,1246
세종특별자치시,연기면,1244
세종특별자치시,전의면,1250
세종특별자치시,연동면,1245
세종특별자치시,소정면,1252
세종특별자치시,전동면,1251
세종특별자치시,가람동,6412
